
                             RF1_thick_desl_1e  RF1_thick_desl_1e  U1_thick_desl_1e4
                  X               4_aplic            4_apoio             _aplic     

              422.503E-03        297.589           -297.582             12.6378E-03 
              423.751E-03        299.448           -299.442             12.7169E-03 
              425.002E-03        301.314           -301.308             12.7962E-03 
              426.253E-03        303.184           -303.178             12.8754E-03 
              427.501E-03        305.051           -305.045             12.9549E-03 
              428.751E-03        306.926           -306.92              13.0345E-03 
              430.002E-03        308.804           -308.798             13.1142E-03 
              431.25E-03         310.679           -310.674             13.1939E-03 
              432.501E-03        312.563           -312.557             13.274E-03  
              433.752E-03        314.448           -314.442             13.354E-03  
              435.E-03           316.331           -316.326             13.434E-03  
              436.251E-03        318.221           -318.217             13.5144E-03 
              437.502E-03        320.115           -320.11              13.5948E-03 
              438.753E-03        322.011           -322.005             13.6752E-03 
              440.001E-03        323.904           -323.898             13.7557E-03 
              441.252E-03        325.803           -325.799             13.8365E-03 
              442.503E-03        327.706           -327.702             13.9172E-03 
              443.751E-03        329.606           -329.601             13.9978E-03 
              445.002E-03        331.513           -331.508             14.0789E-03 
              446.253E-03        333.422           -333.417             14.16E-03   
              447.5E-03          335.328           -335.324             14.241E-03  
              448.751E-03        337.241           -337.236             14.3221E-03 
              450.002E-03        339.157           -339.152             14.4036E-03 
              451.25E-03         341.068           -341.064             14.4849E-03 
              452.501E-03        342.987           -342.984             14.5664E-03 
              453.752E-03        344.908           -344.904             14.6479E-03 
              455.E-03           346.826           -346.821             14.7293E-03 
              456.251E-03        348.75            -348.746             14.8111E-03 
              457.502E-03        350.675           -350.672             14.893E-03  
              458.753E-03        352.603           -352.6               14.9748E-03 
              460.001E-03        354.528           -354.524             15.0565E-03 
              461.252E-03        356.458           -356.456             15.1384E-03 
              462.503E-03        358.39            -358.388             15.2206E-03 
              463.751E-03        360.32            -360.317             15.3026E-03 
              465.002E-03        362.255           -362.252             15.3849E-03 
              466.253E-03        364.191           -364.188             15.4671E-03 
              467.5E-03          366.124           -366.122             15.5491E-03 
              468.751E-03        368.063           -368.061             15.6314E-03 
              470.002E-03        370.004           -370.001             15.7138E-03 
              471.25E-03         371.94            -371.937             15.7962E-03 
              472.501E-03        373.883           -373.881             15.8788E-03 
              473.752E-03        375.826           -375.824             15.9614E-03 
              475.003E-03        377.771           -377.769             16.044E-03  
              476.251E-03        379.712           -379.71              16.1264E-03 
              477.502E-03        381.659           -381.657             16.209E-03  
              478.753E-03        383.606           -383.605             16.2916E-03 
              480.001E-03        385.55            -385.548             16.374E-03  
              481.252E-03        387.499           -387.497             16.4568E-03 
              482.503E-03        389.448           -389.447             16.5398E-03 
              483.75E-03         391.394           -391.393             16.6225E-03 
              485.001E-03        393.345           -393.344             16.7055E-03 
              486.252E-03        395.298           -395.296             16.7885E-03 
              487.5E-03          397.244           -397.243             16.8712E-03 
              488.751E-03        399.197           -399.196             16.9543E-03 
              490.002E-03        401.15            -401.149             17.0372E-03 
              491.25E-03         403.099           -403.098             17.12E-03   
              492.501E-03        405.053           -405.052             17.203E-03  
              493.752E-03        407.007           -407.007             17.2859E-03 
              495.003E-03        408.961           -408.961             17.3689E-03 
              496.251E-03        410.911           -410.911             17.4517E-03 
              497.502E-03        412.866           -412.865             17.5347E-03 
              498.753E-03        414.821           -414.821             17.6177E-03 
              500.001E-03        416.77            -416.771             17.7004E-03 
              501.252E-03        418.726           -418.725             17.7834E-03 
              502.503E-03        420.681           -420.681             17.8664E-03 
              503.75E-03         422.63            -422.631             17.9492E-03 
              505.001E-03        424.585           -424.585             18.0322E-03 
              506.252E-03        426.539           -426.54              18.1152E-03 
              507.5E-03          428.489           -428.489             18.1979E-03 
              508.751E-03        430.442           -430.443             18.2809E-03 
              510.002E-03        432.395           -432.397             18.3639E-03 
              511.25E-03         434.344           -434.344             18.4467E-03 
              512.501E-03        436.297           -436.298             18.5296E-03 
              513.752E-03        438.248           -438.25              18.6126E-03 
              515.003E-03        440.2             -440.202             18.6956E-03 
              516.251E-03        442.146           -442.147             18.7783E-03 
              517.502E-03        444.097           -444.098             18.8613E-03 
              518.753E-03        446.046           -446.048             18.9443E-03 
              520.001E-03        447.99            -447.992             19.0269E-03 
              521.252E-03        449.939           -449.94              19.1095E-03 
              522.503E-03        451.886           -451.887             19.1921E-03 
              523.75E-03         453.828           -453.829             19.2745E-03 
              525.001E-03        455.773           -455.775             19.3571E-03 
              526.252E-03        457.718           -457.72              19.4397E-03 
              527.5E-03          459.657           -459.658             19.5221E-03 
              528.751E-03        461.599           -461.601             19.6047E-03 
              530.002E-03        463.54            -463.543             19.6873E-03 
              531.253E-03        465.481           -465.483             19.7699E-03 
              532.501E-03        467.415           -467.417             19.8524E-03 
              533.752E-03        469.353           -469.355             19.935E-03  
              535.003E-03        471.288           -471.292             20.0174E-03 
              536.251E-03        473.219           -473.222             20.0991E-03 
              537.502E-03        475.153           -475.155             20.1809E-03 
              538.753E-03        477.084           -477.087             20.2628E-03 
              540.E-03           479.01            -479.014             20.3445E-03 
              541.251E-03        480.939           -480.943             20.4264E-03 
              542.502E-03        482.867           -482.871             20.5083E-03 
              543.75E-03         484.788           -484.791             20.5899E-03 
              545.001E-03        486.712           -486.716             20.6718E-03 
              546.252E-03        488.634           -488.638             20.7537E-03 
              547.5E-03          490.55            -490.554             20.8353E-03 
              548.751E-03        492.469           -492.473             20.9169E-03 
              550.002E-03        494.386           -494.39              20.998E-03  
              551.253E-03        496.3             -496.305             21.0792E-03 
              552.501E-03        498.209           -498.213             21.1601E-03 
              553.752E-03        500.12            -500.124             21.2412E-03 
              555.003E-03        502.028           -502.033             21.3224E-03 
              556.251E-03        503.93            -503.935             21.4033E-03 
              557.502E-03        505.834           -505.839             21.4844E-03 
              558.753E-03        507.737           -507.742             21.5655E-03 
              560.E-03           509.632           -509.637             21.6458E-03 
              561.251E-03        511.53            -511.535             21.7261E-03 
              562.502E-03        513.425           -513.43              21.8065E-03 
              563.75E-03         515.313           -515.318             21.8867E-03 
              565.001E-03        517.203           -517.209             21.9671E-03 
              566.252E-03        519.091           -519.097             22.0475E-03 
              567.5E-03          520.972           -520.978             22.1277E-03 
              568.751E-03        522.855           -522.861             22.2075E-03 
              570.002E-03        524.735           -524.741             22.2871E-03 
              571.253E-03        526.613           -526.619             22.3668E-03 
              572.501E-03        528.483           -528.489             22.4463E-03 
              573.752E-03        530.355           -530.361             22.5259E-03 
              575.003E-03        532.224           -532.23              22.6056E-03 
              576.251E-03        534.085           -534.092             22.6846E-03 
              577.502E-03        535.949           -535.955             22.7636E-03 
              578.753E-03        537.81            -537.815             22.8425E-03 
              580.E-03           539.662           -539.669             22.9212E-03 
              581.251E-03        541.516           -541.524             23.0001E-03 
              582.502E-03        543.368           -543.375             23.0791E-03 
              583.75E-03         545.211           -545.218             23.1572E-03 
              585.001E-03        547.057           -547.064             23.2353E-03 
              586.252E-03        548.898           -548.905             23.3135E-03 
              587.503E-03        550.737           -550.744             23.3917E-03 
              588.751E-03        552.567           -552.574             23.4697E-03 
              590.002E-03        554.399           -554.406             23.5476E-03 
              591.253E-03        556.227           -556.235             23.625E-03  
              592.501E-03        558.047           -558.056             23.7023E-03 
              593.752E-03        559.869           -559.877             23.7797E-03 
              595.003E-03        561.687           -561.695             23.8571E-03 
              596.25E-03         563.497           -563.505             23.934E-03  
              597.501E-03        565.307           -565.315             24.0108E-03 
              598.752E-03        567.115           -567.123             24.0875E-03 
              600.E-03           568.913           -568.922             24.164E-03  
              601.251E-03        570.713           -570.721             24.2407E-03 
              602.502E-03        572.509           -572.517             24.3168E-03 
              603.75E-03         574.296           -574.305             24.3926E-03 
              605.001E-03        576.084           -576.093             24.4686E-03 
              606.252E-03        577.868           -577.877             24.5445E-03 
              607.503E-03        579.648           -579.657             24.6202E-03 
              608.751E-03        581.42            -581.429             24.6953E-03 
              610.002E-03        583.192           -583.201             24.7705E-03 
              611.253E-03        584.96            -584.969             24.8457E-03 
              612.501E-03        586.72            -586.729             24.9207E-03 
              613.752E-03        588.48            -588.489             24.9952E-03 
              615.003E-03        590.236           -590.244             25.0697E-03 
              616.25E-03         591.982           -591.991             25.144E-03  
              617.501E-03        593.729           -593.739             25.2185E-03 
              618.752E-03        595.471           -595.481             25.2922E-03 
              620.E-03           597.206           -597.215             25.3658E-03 
              621.251E-03        598.939           -598.948             25.4396E-03 
              622.502E-03        600.668           -600.678             25.5133E-03 
              623.75E-03         602.388           -602.399             25.5861E-03 
              625.001E-03        604.109           -604.119             25.6591E-03 
              626.252E-03        605.825           -605.834             25.7321E-03 
              627.503E-03        607.535           -607.546             25.805E-03  
              628.751E-03        609.238           -609.249             25.877E-03  
              630.002E-03        610.94            -610.95              25.9493E-03 
              631.253E-03        612.637           -612.646             26.0216E-03 
              632.501E-03        614.324           -614.335             26.0932E-03 
              633.752E-03        616.011           -616.023             26.1648E-03 
              635.003E-03        617.694           -617.705             26.2363E-03 
              636.25E-03         619.368           -619.378             26.3077E-03 
              637.501E-03        621.04            -621.052             26.3785E-03 
              638.752E-03        622.707           -622.72              26.4493E-03 
