
                             RF1_thin_desl_1e5  RF1_thin_desl_1e5  U1_thin_desl_1e5_
                  X                _aplic             _apoio             aplic      

              391.252E-03        246.987           -246.918              8.12714E-03
              392.503E-03        248.726           -248.658              8.18441E-03
              393.755E-03        250.468           -250.402              8.24183E-03
              395.007E-03        252.214           -252.15               8.29935E-03
              396.259E-03        253.964           -253.902              8.35703E-03
              397.51E-03         255.718           -255.657              8.41481E-03
              398.751E-03        257.461           -257.399              8.47221E-03
              400.002E-03        259.223           -259.161              8.53025E-03
              401.254E-03        260.989           -260.927              8.58842E-03
              402.506E-03        262.758           -262.696              8.64667E-03
              403.758E-03        264.531           -264.469              8.70508E-03
              405.009E-03        266.307           -266.246              8.7636E-03 
              406.261E-03        268.087           -268.026              8.82221E-03
              407.501E-03        269.853           -269.794              8.88044E-03
              408.753E-03        271.639           -271.582              8.93928E-03
              410.005E-03        273.429           -273.373              8.99826E-03
              411.257E-03        275.222           -275.167              9.05734E-03
              412.508E-03        277.018           -276.965              9.11652E-03
              413.76E-03         278.817           -278.765              9.17579E-03
              415.E-03           280.605           -280.552              9.23467E-03
              416.252E-03        282.411           -282.358              9.29416E-03
              417.504E-03        284.221           -284.167              9.35376E-03
              418.756E-03        286.033           -285.98               9.41348E-03
              420.007E-03        287.848           -287.796              9.47328E-03
              421.259E-03        289.666           -289.615              9.53318E-03
              422.511E-03        291.487           -291.437              9.59319E-03
              423.751E-03        293.294           -293.246              9.65273E-03
              425.003E-03        295.121           -295.074              9.71293E-03
              426.255E-03        296.95            -296.905              9.7732E-03 
              427.506E-03        298.782           -298.738              9.83358E-03
              428.758E-03        300.617           -300.573              9.89406E-03
              430.01E-03         302.455           -302.411              9.95458E-03
              431.25E-03         304.28            -304.236             10.0147E-03 
              432.502E-03        306.123           -306.079             10.0754E-03 
              433.754E-03        307.969           -307.925             10.1362E-03 
              435.005E-03        309.817           -309.773             10.1971E-03 
              436.257E-03        311.667           -311.624             10.2581E-03 
              437.509E-03        313.519           -313.478             10.3191E-03 
              438.76E-03         315.374           -315.335             10.3802E-03 
              440.001E-03        317.214           -317.177             10.4409E-03 
              441.253E-03        319.073           -319.038             10.5022E-03 
              442.504E-03        320.935           -320.9               10.5635E-03 
              443.756E-03        322.799           -322.764             10.6249E-03 
              445.008E-03        324.666           -324.631             10.6864E-03 
              446.259E-03        326.535           -326.5               10.748E-03  
              447.511E-03        328.406           -328.37              10.8096E-03 
              448.752E-03        330.261           -330.226             10.8707E-03 
              450.003E-03        332.135           -332.101             10.9325E-03 
              451.255E-03        334.011           -333.978             10.9943E-03 
              452.507E-03        335.888           -335.858             11.0561E-03 
              453.758E-03        337.767           -337.739             11.1181E-03 
              455.01E-03         339.648           -339.621             11.1801E-03 
              456.251E-03        341.514           -341.488             11.2416E-03 
